id,name,summary,provider,language,url,thumbnail,tags
118,"Core CVA Skills for Supply Chain, Finance and ICT Staff - E-learning Modules","An online self-study course -  Core CVA Skills for Supply Chain, Finance and ICT Staff.",CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=1449,https://kayaconnect.org/pluginfile.php/146578/course/overviewfiles/Core ops EL pic.png,"cash, coordination, humanitarian-essentials, information-management-and-technology, leadership-skills, management-essentials, monitoring-and-evaluation, programmatic-support, programme-design, project-management, technical-sectors"
119,Corporate Social Responsibility (CSR): A Practical Approach,Learn about Corporate Social Responsibility (CSR) and the basics of developing a CSR strategy.,Learning Pool,en,https://kayaconnect.org/course/info.php?id=3063,https://kayaconnect.org/pluginfile.php/384288/course/overviewfiles/CSR.jpg,"fundraising-and-donor-management, management-essentials, programmatic-support"
120,Counseling ANJE à distance : Soutenir les personnes en charge d'enfants lors d'épidémies et dans d'autres contextes,"Il s'agit d'un cours d'apprentissage en ligne pour les conseillers en alimentation des nourrissons et des jeunes enfants (ANJE), conçu pour doter les apprenants des connaissances et des compétences nécessaires pour counseling à distance les clients afin qu'ils comprennent, adoptent et maintiennent des comportements et des pratiques ANJE optimaux.",READY initiative,fr,https://kayaconnect.org/course/info.php?id=4510,https://kayaconnect.org/pluginfile.php/757859/course/overviewfiles/SplashScreen.png,"coaching-and-mentoring-others, coronavirus, food-security-and-nutrition, health, technical-sectors"
121,Country Office Operations ,"The Country Office Operations pathway is intended for staff who are involved in the operations of country offices. It provides information on technologies that can be helpful for operational efficiencies, as well as programmatic operations.",NetHope Trainings,en,https://kayaconnect.org/course/info.php?id=9642,https://kayaconnect.org/pluginfile.php/1361766/course/overviewfiles/COO Module Banner.png,"humanitarian-essentials, programmatic-support, programme-design, technical-sectors"
122,Cours en ligne sur les rudiments de la sauvegarde ,Ce cours va vous permettre de mieux comprendre en quoi consiste la sauvegarde chez Save the Children. Il étudie divers problèmes de sauvegarde qui touchent les groupes vulnérables que nous servons et se concentre sur vos obligations personnelles en la matière. ,Save the Children,fr,https://kayaconnect.org/course/info.php?id=4818,https://kayaconnect.org/pluginfile.php/879193/course/overviewfiles/Safeguarding Umbrella.png,"accountability, hr-recruitment-and-deployment, humanitarian-essentials, management-essentials, principles-practices-and-standards, programmatic-support, programme-design, protection, staff-welfare, technical-sectors"
123,Cours sur les Transferts Monétaires à Distance,Cours sur les Transferts Monétaires à Distance,CALP Network (CALP),fr,https://kayaconnect.org/course/info.php?id=727,https://kayaconnect.org/pluginfile.php/46734/course/overviewfiles/Remote Cash.png,"accountability, cash, coordination, humanitarian-essentials, information-management-and-technology, management-essentials, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, project-management, quality-and-governance, technical-sectors"
124,COVID-19 for Teachers,A short introduction for teachers to COVID-19 and what they have to consider when returning to a school setting.,Save the Children,en,https://kayaconnect.org/course/info.php?id=2757,https://kayaconnect.org/pluginfile.php/311827/course/overviewfiles/COVID-19_for_teachers.png,"coronavirus, education, health-and-safety"
125,Creative learning: Make your e-learning stand out,"Meet our team of e-learning professionals, humanitarian learning and development coordinators, and subject matter experts to uncover how to create an effective and impactful e-learning course on installing emergency shelters during a humanitarian crisis. ",Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=1207,https://kayaconnect.org/pluginfile.php/104105/course/overviewfiles/CreativeLearning_Screenshot.PNG,training-design-and-facilitation
126,Cyber Crime,Learn about cyber crime and how to identify it.,Learning Pool,en,https://kayaconnect.org/course/info.php?id=2689,https://kayaconnect.org/pluginfile.php/294447/course/overviewfiles/Cyber Crime.png,"information-management-and-technology, management-essentials, programmatic-support, safety-and-security, security"
127,Cyber Security,Learn about how to protect yourself and your organisation from cyber crime.,Learning Pool,en,https://kayaconnect.org/course/info.php?id=2690,https://kayaconnect.org/pluginfile.php/294481/course/overviewfiles/cyber security.png,"information-management-and-technology, management-essentials, programmatic-support, safety-and-security, security"
128,"Data Collection, Analysis, and Use for Risk Communication and Community Engagement during Infectious Disease Outbreaks in Humanitarian Settings","This eLearning course is designed to equip learners with foundational knowledge on how to collect, analyze, and use data to design community-centered risk communication and community engagement (RCCE) interventions during outbreaks in humanitarian settings.   ","Johns Hopkins Center for Communication Programs, Johns Hopkins Center for Humanitarian Health, READY initiative, Save the Children, Humanitarian Leadership Academy, UK-Med",en,https://kayaconnect.org/course/info.php?id=8914,https://kayaconnect.org/pluginfile.php/1338248/course/overviewfiles/Data.png,"coronavirus, disaster-management-and-risk-reduction, health, humanitarian-essentials, protection, technical-sectors"
129,Data Responsibility Awareness Training - Essentials,"The purpose of the course is to increase awareness and understanding among humanitarian workers on responsible data handling in a short bite-sized training. Data responsibility is the safe, ethical and effective management of personal and non-personal data for operational response.",Norwegian Refugee Council (NRC),en,https://kayaconnect.org/course/info.php?id=8880,https://kayaconnect.org/pluginfile.php/1337386/course/overviewfiles/Course thumbnail 1 NRC.png,"accountability, information-management-and-technology, principles-practices-and-standards, quality-and-governance, security"
130,Data Responsibility Awareness Training – Practitioner,The purpose of course is to increase awareness and understanding among humanitarian workers on responsible data handling in a short bite-sized training. The Data Responsibility Awareness Practitioner course is designed for humanitarian professionals who have roles involving the processing of personal data or managerial oversight for compliance.,Norwegian Refugee Council (NRC),en,https://kayaconnect.org/course/info.php?id=9012,https://kayaconnect.org/pluginfile.php/1342706/course/overviewfiles/Course thumbnail 1 NRC.png,"accountability, information-management-and-technology, principles-practices-and-standards, quality-and-governance, security"
131,Data Standards,"Data quality is an important consideration for all MEAL practitioners, so much so that standards exist to define various characteristics of high-quality data. This module will take a look into data quality standards, how information can be communicated to stakeholders and best practices for storing and disposing of data.","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",en,https://kayaconnect.org/course/info.php?id=2808,https://kayaconnect.org/pluginfile.php/324507/course/overviewfiles/MEALImage.png,"accountability, humanitarian-essentials, monitoring-and-evaluation, programmatic-support"
132,"De-escalation in Resettlement, Asylum and Integration Settings","This module focuses on the foundational skills of de-escalation. You will learn what de-escalation is, what its foundation is, and how to use it with your clients. ",International Rescue Committee (IRC),en,https://kayaconnect.org/course/info.php?id=3348,https://kayaconnect.org/pluginfile.php/450359/course/overviewfiles/De-escalation_courseimage.png,"coronavirus, principles-practices-and-standards, psychosocial-and-psychological-first-aid"
133,Démystifier le financement humanitaire - Sujet 1,"Sujet 1 - Démystifier le financement humanitaire avec le webinaire ONG : panorama du financement humanitaire, réalités et nouvelles tendances. ",International Council of Voluntary Agencies (ICVA),fr,https://kayaconnect.org/course/info.php?id=462,https://kayaconnect.org/pluginfile.php/13643/course/overviewfiles/Lanscape.png,"budgets-and-finance, fundraising-and-donor-management, management-essentials, programmatic-support"
134,Démystifier le financement humanitaire - Sujet 2,Sujet 2 - ONG : tout savoir sur l’accès au financement humanitaire de l’ONU ,International Council of Voluntary Agencies (ICVA),fr,https://kayaconnect.org/course/info.php?id=569,https://kayaconnect.org/pluginfile.php/27744/course/overviewfiles/ngoaccess.png,"budgets-and-finance, fundraising-and-donor-management, management-essentials, programmatic-support"
135,Demystifying Humanitarian Financing: Topic 1 (Financing Landscape),Topic One: Learn to navigate the complex humanitarian financing landscape,International Council of Voluntary Agencies (ICVA),en,https://kayaconnect.org/course/info.php?id=461,https://kayaconnect.org/pluginfile.php/13073/course/overviewfiles/Lanscape.png,"budgets-and-finance, fundraising-and-donor-management, management-essentials, programmatic-support"
136,Demystifying Humanitarian Financing - Topic 2 (NGO Access),Topic Two: UN humanitarian funding - demystifying NGO access  ,International Council of Voluntary Agencies (ICVA),en,https://kayaconnect.org/course/info.php?id=566,https://kayaconnect.org/pluginfile.php/27653/course/overviewfiles/ngoaccess.png,"budgets-and-finance, fundraising-and-donor-management, management-essentials, programmatic-support"
137,Demystifying Humanitarian Financing - Topic 3 (Pooled Funding),Topic Three: Pooled funding - how can NGOs engage?,International Council of Voluntary Agencies (ICVA),en,https://kayaconnect.org/course/info.php?id=567,https://kayaconnect.org/pluginfile.php/27681/course/overviewfiles/pooledfunding.png,"budgets-and-finance, fundraising-and-donor-management, management-essentials, programmatic-support"
138,Demystifying Humanitarian Financing - Topic 4 (Bilateral Funding),"Topic Four: Bilateral funding -Trends, challenges and opportunities for NGOs",International Council of Voluntary Agencies (ICVA),en,https://kayaconnect.org/course/info.php?id=570,https://kayaconnect.org/pluginfile.php/27866/course/overviewfiles/bilateralfunding.png,"budgets-and-finance, fundraising-and-donor-management, management-essentials, programmatic-support"
139,Demystifying Humanitarian Financing - Topic 5 (Private Funding),Topic Five: Private funding - a growing source for NGOs? ,International Council of Voluntary Agencies (ICVA),en,https://kayaconnect.org/course/info.php?id=613,https://kayaconnect.org/pluginfile.php/33688/course/overviewfiles/privatefunding.png,"budgets-and-finance, fundraising-and-donor-management, management-essentials, programmatic-support"
140,Demystifying Humanitarian Financing - Topic 6 (Grand Bargain),Topic Six: Grand Bargain and its impact for NGOs,International Council of Voluntary Agencies (ICVA),en,https://kayaconnect.org/course/info.php?id=614,https://kayaconnect.org/pluginfile.php/33707/course/overviewfiles/grandbargain.png,"budgets-and-finance, fundraising-and-donor-management, management-essentials, programmatic-support"
141,Desafio de visita FIELD - Gestão financeira e de subvenções ,Este módulo baseado em cenários destina-se a testar a sua compreensão da gestão financeira e de subvenções no setor humanitário e a sua capacidade de aplicar os seus conhecimentos em situações de emergência. Ser-lhe-ão apresentados vários cenários para testar os seus conhecimentos sobre uma variedade de temas de gestão financeira. ,"FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",por,https://kayaconnect.org/course/info.php?id=3008,https://kayaconnect.org/pluginfile.php/369646/course/overviewfiles/FinanceCourseImage_1 (1).png,"budgets-and-finance, humanitarian-essentials, management-essentials"
142,Desbloqueando el Acceso Humanitario,Desbloqueando el Acceso Humanitario es un programa de aprendizaje en línea basado en escenarios para todos los humanitarios que trabajan en áreas de difícil acceso.,Norwegian Refugee Council (NRC),es,https://kayaconnect.org/course/info.php?id=4850,https://kayaconnect.org/pluginfile.php/894071/course/overviewfiles/Unlocking.png,"accountability, humanitarian-essentials, international-humanitarian-law, principles-practices-and-standards"
143,Designing Qualitative Research for Monitoring and Evaluation (M&E),This course will help you design and plan for a rigorous qualitative study or routine monitoring activity.,"IDEAL, United States Agency for International Development (USAID)",en,https://kayaconnect.org/course/info.php?id=5138,"https://kayaconnect.org/pluginfile.php/1174348/course/overviewfiles/Resized - 2mb CH1400721_Aminata (age 18) and Ramatu (age 23) are two of Save the Childrens Youth Champions in Murray Town, Freetown.jpg","monitoring-and-evaluation, programmatic-support"
144,Deslocamento por desastres,"Aprofunde a sua compreensão de um dos impactos mais comuns dos desastres: o deslocamento por desastres. Este curso interativo e dinâmico de e-learning destila a orientação do guia O Deslocamento por desastres: como reduzir o risco, abordar os impactos e reforçar a resiliência e sua lista de verificação.","Norwegian Refugee Council (NRC), Platform on Disaster Displacement (PDD), UNDRR - United Nations Office for Disaster Risk Reduction",por,https://kayaconnect.org/course/info.php?id=4823,https://kayaconnect.org/pluginfile.php/880222/course/overviewfiles/NRC DD PT.png,"disaster-management-and-risk-reduction, technical-sectors"
145,Desplazamiento por desastres,"""Este curso interactivo y dinámico de aprendizaje en línea destila la orientación de la Guía De las palabras a la acción """"Desplazamiento por desastres: cómo reducir el riesgo, abordar los impactos y fortalecer la resiliencia"""" y su lista de verificación.""","Norwegian Refugee Council (NRC), Platform on Disaster Displacement (PDD), UNDRR - United Nations Office for Disaster Risk Reduction",es,https://kayaconnect.org/course/info.php?id=2706,https://kayaconnect.org/pluginfile.php/298364/course/overviewfiles/DD PIC.png,disaster-management-and-risk-reduction
146,Developing Individual Mental Toughness,"Learn strategies about the importance of mental toughness, and how to become more resilient in the modern workplace.",Learning Pool,en,https://kayaconnect.org/course/info.php?id=391,https://kayaconnect.org/pluginfile.php/5670/course/overviewfiles/developing-individual.jpg,"communication-and-language-skills, leadership-skills, management-essentials, staff-welfare"
147,Developing People in the Workplace,"Learn about the importance of promoting personal development, and the role that you as a manager can play in helping to plan and manage an individual's professional progression.",Learning Pool,en,https://kayaconnect.org/course/info.php?id=396,https://kayaconnect.org/pluginfile.php/5727/course/overviewfiles/developing-people-in-workplace.png,"coaching-and-mentoring-others, communication-and-language-skills, hr-recruitment-and-deployment, leadership-skills, management-essentials, programmatic-support, staff-welfare"
148,Diaspora Humanitarian Training,"This course has been created to provide diaspora responders with information, tools and guidance for enhancing a humanitarian response. ",Diaspora Emergency Action & Coordination (DEMAC),en,https://kayaconnect.org/course/info.php?id=1066,https://kayaconnect.org/pluginfile.php/84780/course/overviewfiles/(c) DRC.jpg,"accountability, budgets-and-finance, fundraising-and-donor-management, health-and-safety, humanitarian-essentials, leadership-skills, management-essentials, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, project-management, safety-and-security, security, volunteering"
149,Dignity at Work,Learn about how managers can help create a positive working environment in which everyone is treated with dignity and respect. ,Learning Pool,en,https://kayaconnect.org/course/info.php?id=387,https://kayaconnect.org/pluginfile.php/5634/course/overviewfiles/dignity-at-work.png,"communication-and-language-skills, hr-recruitment-and-deployment, management-essentials, programmatic-support, staff-welfare"
150,Disability Inclusion in Education Cluster coordination and response ,Find out more about how to integrate Disability Inclusion in Education in Emergencies (EiE) Cluster Coordination and Response.,"Global Education Cluster, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=9707,https://kayaconnect.org/pluginfile.php/1363751/course/overviewfiles/Inclusion TN.png,"coordination, diversity-and-equality, education, humanitarian-essentials, programmatic-support, protection, technical-sectors"
151,Disability Inclusive CVA,This e-learning course provided by CBM Global Disability Inclusion covers key topics on desigining and implementing inclusive cash and voucher assistance.,CBM Global Disability Inclusion,en,https://kayaconnect.org/course/info.php?id=4875,https://kayaconnect.org/pluginfile.php/908229/course/overviewfiles/Cash transfer in Bekitro_6 - Copy (1).jpg,"cash, diversity-and-equality, humanitarian-essentials, programmatic-support, programme-design, technical-sectors"
152,Disability-inclusive Disaster Risk Reduction Course,"The Disability-Inclusive Disaster Risk Reduction (DiDRR) e-Learning Course is an innovative, scenario-based training program designed to bridge critical gaps in disaster risk reduction (DRR) practices by ensuring the inclusion of persons with disabilities.","CBM Global Disability Inclusion, UNDRR - United Nations Office for Disaster Risk Reduction",en,https://kayaconnect.org/course/info.php?id=11411,https://kayaconnect.org/pluginfile.php/1447894/course/overviewfiles/An SHG leader during a community discussion.png,"accountability, communication-and-language-skills, disaster-management-and-risk-reduction, diversity-and-equality, health, humanitarian-essentials, management-essentials, programmatic-support, programme-design, project-management, technical-sectors"
153,Disaster Displacement,"""Deepen your understanding of one of the most common impacts of disasters: disaster displacement. This interactive and dynamic eLearning course distils the guidance of the Words into Action Guideline """"Disaster Displacement: How to Reduce Risk, Address Impacts and Strengthen Resilience"""" and its accompanying Checklist. ""","Norwegian Refugee Council (NRC), Platform on Disaster Displacement (PDD), UNDRR - United Nations Office for Disaster Risk Reduction",en,https://kayaconnect.org/course/info.php?id=3028,https://kayaconnect.org/pluginfile.php/377782/course/overviewfiles/DD.png,"disaster-management-and-risk-reduction, technical-sectors"
154,Disaster Risk Reduction and Management Pathway for East Africa,This Disaster Risk Reduction and Management (DRRM) course has been designed to provide an in-depth overview of DRRM to humanitarian professionals in East Africa interested in expanding their knowledge on DRRM.,"Humanitarian Learning Centre, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=1209,https://kayaconnect.org/pluginfile.php/104633/course/overviewfiles/New Image.JPG,"disaster-management-and-risk-reduction, technical-sectors"
155,Dobre samopoczucie i odporność dla pracowników pierwszego kontaktu i kierowników ,"Ten kurs pomoże ci zrozumieć, jaki wpływ ma stres na twoje życie oraz to, jak budować odporność osobistą i organizacyjną. Podczas kursu opracujesz osobisty plan działania i zdobędziesz dodatkową wiedzę nt. różnych technik wellness i budowania odporności do zastosowania w sytuacjach stresowych. ","Save the Children, Humanitarian Leadership Academy",pol,https://kayaconnect.org/course/info.php?id=4639,https://kayaconnect.org/pluginfile.php/798490/course/overviewfiles/wellness and resilience.png,"psychosocial-and-psychological-first-aid, technical-sectors"
156,"Donor Module 1 - Making the case for cash: trends, evidence and advocacy ",This is 1 of 6 modules which aims to support and strengthen CVA related considerations within donors’ ways of working. They inform participants about the latest trends and debates and look closely at specific topics (e.g. risk management and compliance) that are of particular relevance for this audience.,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=3443,https://kayaconnect.org/pluginfile.php/470249/course/overviewfiles/CALP-MODULE1.jpg,"cash, humanitarian-essentials, management-essentials, principles-practices-and-standards, programme-design"
157,Donor Module 2 - Donor Strategies and Commitments,This is 1 of 6 modules which aims to support and strengthen CVA related considerations within donors’ ways of working. They inform participants about the latest trends and debates and look closely at specific topics (e.g. risk management and compliance) that are of particular relevance for this audience.,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=3491,https://kayaconnect.org/pluginfile.php/479672/course/overviewfiles/CALP-MODULE2.jpg,"cash, humanitarian-essentials, management-essentials, principles-practices-and-standards, programme-design"
158,Donor Module 3 - Quality CVA throughout the programme cycle,This is 1 of 6 modules which aims to support and strengthen CVA related considerations within donors’ ways of working. They inform participants about the latest trends and debates and look closely at specific topics (e.g. risk management and compliance) that are of particular relevance for this audience.,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=3521,https://kayaconnect.org/pluginfile.php/485793/course/overviewfiles/CALP-MODULE3.jpg,"cash, humanitarian-essentials, management-essentials, principles-practices-and-standards, programme-design"
159,Donor Module 4 - Managing risks and doing no harm,This is 1 of 6 modules which aims to support and strengthen CVA related considerations within donors’ ways of working. They inform participants about the latest trends and debates and look closely at specific topics (e.g. risk management and compliance) that are of particular relevance for this audience.,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=3522,https://kayaconnect.org/pluginfile.php/485810/course/overviewfiles/CALP-MODULE4.jpg,"cash, humanitarian-essentials, management-essentials, principles-practices-and-standards, programme-design"
160,Donor Module 5 - Donors' role in influencing quality CVA,This is 1 of 6 modules which aims to support and strengthen CVA related considerations within donors’ ways of working. They inform participants about the latest trends and debates and look closely at specific topics (e.g. risk management and compliance) that are of particular relevance for this audience.,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=3523,https://kayaconnect.org/pluginfile.php/485831/course/overviewfiles/CALP-MODULE5.jpg,"cash, humanitarian-essentials, management-essentials, principles-practices-and-standards, programme-design"
161,Donor Module 6 - Collaborative cash delivery,This is 1 of 6 modules which aims to support and strengthen CVA related considerations within donors’ ways of working. They inform participants about the latest trends and debates and look closely at specific topics (e.g. risk management and compliance) that are of particular relevance for this audience.,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=3524,https://kayaconnect.org/pluginfile.php/485849/course/overviewfiles/CALP-MODULE6.jpg,"cash, humanitarian-essentials, management-essentials, principles-practices-and-standards, programme-design"
162,Donor Modules (CVA) Compilation: Modules 1 - 6,The donor modules aim to support and strengthen Cash and Voucher Assistance (CVA) related considerations within donors’ ways of working. They inform participants about the latest trends and debates and look closely at specific topics (e.g. risk management and compliance) that are of particular relevance for this audience. ,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=3700,https://kayaconnect.org/pluginfile.php/526114/course/overviewfiles/Compilation image 4.jpg,"cash, humanitarian-essentials, management-essentials, principles-practices-and-standards, programme-design"
163,DRRM101: Philippine Disaster Risk Reduction and Management System,"The Philippine Disaster Risk Reduction and Management System module will accustom you to basic and contextualized technical know-how on key concepts, legal framework and thematic areas of Disaster Risk Reduction and Management in the Philippine setting.",Office of Civil Defense – Philippines,en,https://kayaconnect.org/course/info.php?id=635,https://kayaconnect.org/pluginfile.php/34936/course/overviewfiles/PDRRMS.png,"disaster-management-and-risk-reduction, technical-sectors"
164,Early Warning Early Action ,"In this course, you will learn more about key community-level tools for Early Warning Early Action to support communities in establishing and facilitating Early Warning Committees, assist communities in Community Based EWEA planning and design, creating Early Warning Indicators, EW Actions, Communication Strategy, and Scenario building.",World Vision,en,https://kayaconnect.org/course/info.php?id=4939,https://kayaconnect.org/pluginfile.php/1022631/course/overviewfiles/EWEA Course Card.png,"climate-change, disaster-management-and-risk-reduction, humanitarian-essentials, information-management-and-technology, leadership-skills, principles-practices-and-standards, programme-design, protection"
165,EdTech 101: An Introduction to Education Technology,"The EdTech 101 course will introduce learners to education technology and how it can be integrated into education programing. Specifically, the course will cover the different types of EdTech, guiding principles for EdTech integration, how EdTech has been used across the movement, and the agency’s future EdTech plans.","Save the Children, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=4599,https://kayaconnect.org/pluginfile.php/788194/course/overviewfiles/EdTech101-SummaryImage.png,"education, information-management-and-technology, innovation, training-design-and-facilitation"
166,Educación en Emergencias (EeE),Este curso está diseñado principalmente para ayudar a los profesionales de la educación en situaciones de emergencia (EiE) y de la educación en general a mejorar sus conocimientos tanto generales como de temas y aspectos específicos de la EiE.,"Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",es,https://kayaconnect.org/course/info.php?id=3979,https://kayaconnect.org/pluginfile.php/603066/course/overviewfiles/Font.JPG,"coronavirus, education, technical-sectors"
167,Éducation inclusive en situation d'urgence (ESU) (2.5),"Cette unité donne un aperçu du concept d'éducation inclusive en situation d'urgence (ESU), notamment pour les enfants en situation de handicap ou ayant des besoins spécifiques d'apprentissage. Elle explore la manière de promouvoir l'éducation inclusive à travers l'évaluation, la conception et la mise en œuvre.","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",fr,https://kayaconnect.org/course/info.php?id=10998,https://kayaconnect.org/pluginfile.php/1410219/course/overviewfiles/main banner 500 330.png,"education, programmatic-support, programme-design, protection"
168,Education in Emergencies (EiE),"This course is designed to help Education in Emergencies (EiE) and education practitioners improve their overall understanding of EiE or their knowledge of specific EiE topics
and areas. ","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",en,https://kayaconnect.org/course/info.php?id=2748,https://kayaconnect.org/pluginfile.php/309551/course/overviewfiles/image.png,"coronavirus, education, technical-sectors"
169,Edukacja w Sytuacjach Kryzysowych,"Kurs ten został przygotowany, aby pomóc osobom zajmującym się edukacją w sytuacjach kryzysowych (ang. Education in Emergencies, EiE) i praktykom edukacyjnym w poprawieniu ich ogólnego zrozumienia EiE lub ich wiedzy na konkretne tematy i obszary EiE.","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",pol,https://kayaconnect.org/course/info.php?id=5384,https://kayaconnect.org/pluginfile.php/1202452/course/overviewfiles/M1.png,"coronavirus, education, technical-sectors"
170,EeE Integrada y de Calidad (1.3),"La Unidad 3 examina el concepto de educación de calidad en el contexto de situaciones de emergencia, los marcos para analizarla y promoverla (especialmente el de la INEE) y los desafíos para alcanzarla en dicho contexto.","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",es,https://kayaconnect.org/course/info.php?id=3990,https://kayaconnect.org/pluginfile.php/606238/course/overviewfiles/Unit 3 Into 1-100.jpg,"coronavirus, technical-sectors"
171,Effective Minute Writing ,Learn how to write good minutes for your meetings in an easy-to-read and effective style.,Learning Pool,en,https://kayaconnect.org/course/info.php?id=2699,https://kayaconnect.org/pluginfile.php/297825/course/overviewfiles/Effective Minute Writing.jpg,"communication-and-language-skills, management-essentials"
172,Effects of Emergencies on Health and Nutrition - An Advanced Guide,"This is an advanced course, a guide for health and nutrition professionals to help predict the impact of different emergencies on health and nutrition.","Save the Children, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=531,https://kayaconnect.org/pluginfile.php/21759/course/overviewfiles/Image without texts.png,"food-security-and-nutrition, health, health-and-safety, humanitarian-essentials, monitoring-and-evaluation, programmatic-support, safety-and-security, technical-sectors"
173,Effects of Emergencies on Health and Nutrition - An Introduction,"This is an introductory course on effects of emergencies on health and nutrition, aimed at humanitarian field workers and health and nutrition professionals. ","Save the Children, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=529,https://kayaconnect.org/pluginfile.php/21715/course/overviewfiles/Image without text.png,"food-security-and-nutrition, health, health-and-safety, humanitarian-essentials, monitoring-and-evaluation, programmatic-support, safety-and-security, technical-sectors"
174,"Egalitate, diversitate și incluziune ","În timpul situațiilor de criză umanitară, persoanele vulnerabile pot fi adesea trecute cu vederea. Înțelegerea modului de promovare a egalității, a diversității și a incluziunii este esențială pentru a sprijini în mod eficient persoanele de toate vârstele și din toate mediile într-un mod nediscriminatoriu și echitabil. Acest curs este conceput pent","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",ron,https://kayaconnect.org/course/info.php?id=4348,https://kayaconnect.org/pluginfile.php/706267/course/overviewfiles/Cross-CuttingSubjectsImage.png,"diversity-and-equality, health-and-safety, humanitarian-essentials, principles-practices-and-standards, programmatic-support, security"
175,EIE – Bariery i cele (1.2) ,"W tym kursie zajmiemy się typowymi barierami w dostępie do edukacji w sytuacjach kryzysowych, metodami ich analizy oraz podejściami dotyczącymi dostępu do edukacji, które pomagają likwidować te bariery.","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",pol,https://kayaconnect.org/course/info.php?id=5387,https://kayaconnect.org/pluginfile.php/1202786/course/overviewfiles/Unit 2.png,"coronavirus, education, technical-sectors"
176,Éléments Essentiels du Start Fund,Les Éléments Essentiels du Start Fund est un cours en 4 modules que les membres de Start Network doivent suivre avant de s'engager dans le Start Fund.,Start Network,fr,https://kayaconnect.org/course/info.php?id=11811,https://kayaconnect.org/pluginfile.php/1510405/course/overviewfiles/Start ThumbNail.png,"disaster-management-and-risk-reduction, humanitarian-essentials, programmatic-support, technical-sectors"
177,Embedding sustainability into end-to-end supply chains,"This 3 hour course will explore the fundamental concepts of sustainability, how it fits into humanitarian supply chains and operations, and the motivation for humanitarian organizations to address this important topic.    ","Save the Children, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=6571,https://kayaconnect.org/pluginfile.php/1251795/course/overviewfiles/Sustainability course image.jpg,"logistics, programmatic-support"
178,"Empathic Communication in Resettlement, Asylum and Integration Settings",This course focuses on the foundational skills of conveying empathy through communication skills. ,International Rescue Committee (IRC),en,https://kayaconnect.org/course/info.php?id=3354,https://kayaconnect.org/pluginfile.php/450975/course/overviewfiles/EmpathicCommunication_courseimage.png,"communication-and-language-skills, principles-practices-and-standards, protection, psychosocial-and-psychological-first-aid, technical-sectors"
179,Energy Efficiency Challenge,"This interactive, game-based learning experience will equip you with the knowledge and skills to reduce the carbon footprint of your office. ",Norwegian Refugee Council (NRC),en,https://kayaconnect.org/course/info.php?id=7199,https://kayaconnect.org/pluginfile.php/1291704/course/overviewfiles/Kaya Course Photo_Energy Efficiency Challenge.png,"climate-change, logistics, programmatic-support"
